year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil type,Soil pH,Soil Organic matter %,Sand Content %,Clay Content %,Silt Content %, soil bulk density (grams per cubic centimeter), wilting point %,field capacity %,saturation point (cm),Yield
1982,1,36288,22,153.6000061,0,23.5,13,1480,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,2,36633.60156,0,208,0,23,12.5,1440,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,3,36633.60156,0,230.3999939,0,25.5,13.5,1560,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,4,36633.60156,8,172.8000031,0,25.5,13.5,1560,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,5,36633.60156,0,326.3999939,0,20,1.5,680,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,6,36633.60156,0,323.2000122,0,22.5,4,800,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,7,36633.60156,0,297.6000061,0,25,8.5,1120,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,8,36633.60156,10,172.8000031,0,23,11.5,1360,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,9,36633.60156,0,195.1999969,0,16.5,7.5,1040,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,10,36633.60156,0,297.6000061,0,15.5,0.5,640,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,11,36979.19922,0,361.6000061,0,14,-7,360,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,12,36979.19922,0,326.3999939,0,8,-8.5,320,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,13,36979.19922,28,230.3999939,0,15.5,0,600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,14,36979.19922,59,224,0,18.5,3.5,800,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,15,36979.19922,0,320,0,11.5,-4.5,440,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,16,36979.19922,0,348.7999878,0,16.5,-2.5,520,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,17,36979.19922,3,233.6000061,0,18,2.5,720,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,18,37324.80078,0,348.7999878,0,19,0,600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,19,37324.80078,0,339.2000122,0,24,5.5,920,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,20,37324.80078,0,348.7999878,0,27,7,1000,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,21,37324.80078,0,339.2000122,0,27,8,1080,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,22,37324.80078,0,297.6000061,0,25.5,10.5,1280,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,23,37670.39844,0,252.8000031,0,24.5,12.5,1440,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,24,37670.39844,2,310.3999939,0,24,8.5,1120,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,25,37670.39844,0,371.2000122,0,19.5,-0.5,600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,26,37670.39844,0,316.7999878,0,18.5,3.5,800,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,27,37670.39844,0,352,0,14.5,-2.5,520,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,28,38016,0,368,0,19.5,0.5,640,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,29,38016,0,371.2000122,0,22,2.5,720,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,30,38016,0,358.3999939,0,25,6.5,960,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,31,38016,0,320,0,27.5,11.5,1360,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,32,38361.60156,0,310.3999939,0,25.5,10.5,1280,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,33,38361.60156,3,192,0,23.5,12,1400,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,34,38361.60156,23,163.1999969,0,24,14.5,1640,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,35,38361.60156,10,176,0,23,13,1480,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,36,38707.19922,0,256,0,24.5,13.5,1560,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,37,38707.19922,0,236.8000031,0,25,15,1720,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,38,38707.19922,0,329.6000061,0,23.5,9,1160,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,39,38707.19922,0,329.6000061,0,23.5,9,1160,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,40,39052.80078,0,278.3999939,0,26,14,1600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,41,39052.80078,3,208,0,25,13.5,1560,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,42,39052.80078,0,176,0,18.5,12,1400,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,43,39052.80078,8,204.8000031,0,21.5,11,1320,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,44,39398.39844,12,233.6000061,0,21.5,9.5,1200,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,45,39398.39844,0,409.6000061,0,23,4.5,840,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,46,39398.39844,0,358.3999939,0,25.5,10.5,1280,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,47,39398.39844,26,243.1999969,0,27,14,1600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,48,39744,14,240,0,26.5,14,1600,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,49,39744,0,371.2000122,0,26,11,1320,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,50,39744,0,352,0,25.5,12,1400,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
1982,51,40089.60156,0,403.2000122,0,25,8.5,1120,Arredondo fine sand,5.3,0.32,89.4,8.8,1.8,1.6,6.3,13.3,200,0
