year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil type,Soil pH,Soil Organic matter %,Sand Content %,Clay Content %,Silt Content %, soil bulk density (grams per cubic centimeter), wilting point %,field capacity %,saturation point (cm),Yield
1982,1,30412.80078,8,118.4000015,36,-3,-14.5,200,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,2,30412.80078,5,147.1999969,40,-4,-21,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,3,30412.80078,7,115.1999969,48,-0.5,-11.5,240,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,4,30412.80078,14,83.19999695,60,-3,-10,280,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,5,30758.40039,2,156.8000031,64,-3.5,-14,200,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,6,30758.40039,3,108.8000031,68,-3.5,-13,240,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,7,30758.40039,5,128,72,-8.5,-20,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,8,30758.40039,3,140.8000031,76,-10.5,-24,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,9,31104,7,118.4000015,80,-15,-25,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,10,31104,8,156.8000031,88,-10.5,-26,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,11,31104,4,118.4000015,92,-8,-17.5,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,12,31104,7,108.8000031,100,-8,-16.5,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,13,31449.59961,0,160,100,-7.5,-17,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,14,31449.59961,0,233.6000061,100,-9,-28,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,15,31449.59961,3,176,104,-8.5,-27.5,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,16,31795.19922,7,169.6000061,112,-10.5,-26.5,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,17,31795.19922,6,147.1999969,116,-18.5,-30,40,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,18,31795.19922,0,240,116,-12,-29,40,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,19,32140.80078,2,243.1999969,120,-6.5,-24,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,20,32140.80078,0,201.6000061,120,-6.5,-18,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,21,32140.80078,0,208,120,-12,-24,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,22,32486.40039,1,230.3999939,120,-13.5,-27.5,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,23,32486.40039,7,169.6000061,128,-5,-18,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,24,32486.40039,2,204.8000031,128,-8,-19,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,25,32832,2,201.6000061,132,-9.5,-20,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,26,32832,2,198.3999939,132,-7.5,-17.5,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,27,33177.60156,0,246.3999939,132,-2.5,-16.5,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,28,33177.60156,3,176,136,-1,-13.5,200,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,29,33523.19922,3,153.6000061,140,-5,-15,200,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,30,33523.19922,2,192,140,-3.5,-12.5,240,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,31,33523.19922,0,227.1999969,140,-9,-20,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,32,33868.80078,0,275.2000122,140,-6,-21,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,33,33868.80078,3,156.8000031,144,-4,-13.5,200,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,34,34214.39844,3,131.1999969,148,-5.5,-13,240,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,35,34214.39844,0,275.2000122,148,-9.5,-23.5,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,36,34560,0,249.6000061,148,-10.5,-22,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,37,34560,0,265.6000061,148,-11,-23.5,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,38,34905.60156,1,262.3999939,148,-8.5,-20.5,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,39,34905.60156,0,252.8000031,148,-7,-18,160,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,40,35251.19922,1,284.7999878,148,-8.5,-21.5,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,41,35251.19922,0,304,148,-11.5,-26,80,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
1982,42,35596.80078,0,281.6000061,148,-8,-20.5,120,Allendale loamy fine sand,7.3,1.11,39.6,31.4,29,1.51,19,25.4,>200,0
