year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil type,Soil pH,Soil Organic matter %,Sand Content %,Clay Content %,Silt Content %, soil bulk density (grams per cubic centimeter), wilting point %,field capacity %,saturation point (cm),Yield
1982,1,33177.60156,5,131.1999969,0,4.5,-4.5,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,2,33177.60156,0,176,0,1.5,-7.5,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,3,33177.60156,4,99.19999695,0,5.5,-1,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,4,33177.60156,13,179.1999969,0,12.5,-3,480,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,5,33523.19922,0,198.3999939,0,5,-5.5,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,6,33523.19922,0,169.6000061,0,5.5,-3,480,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,7,33523.19922,2,230.3999939,0,5,-6,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,8,33523.19922,0,236.8000031,0,-3,-14,200,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,9,33523.19922,2,265.6000061,4,-3.5,-17,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,10,33523.19922,9,195.1999969,12,-13.5,-26,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,11,33868.80078,0,195.1999969,12,-16,-24,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,12,33868.80078,0,230.3999939,12,-9,-19,120,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,13,33868.80078,4,131.1999969,16,-5.5,-12.5,240,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,14,33868.80078,2,240,20,-6.5,-17,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,15,34214.39844,0,304,20,-8,-24,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,16,34214.39844,2,329.6000061,20,-1,-24,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,17,34214.39844,0,265.6000061,20,-17.5,-29,40,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,18,34214.39844,1,294.3999939,24,-9.5,-23.5,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,19,34560,0,294.3999939,24,-2,-16,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,20,34560,0,214.3999939,24,1.5,-7,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,21,34560,5,147.1999969,28,0.5,-7,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,22,34560,0,262.3999939,28,1,-10,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,23,34905.60156,29,220.8000031,56,7,-6,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,24,34905.60156,0,320,56,0,-14.5,200,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,25,34905.60156,5,147.1999969,60,-7.5,-14.5,200,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,26,35251.19922,6,220.8000031,68,-8,-19.5,120,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,27,35251.19922,0,358.3999939,68,-4,-22,120,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,28,35251.19922,0,300.7999878,68,4,-8,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,29,35596.80078,0,329.6000061,68,2,-12,240,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,30,35596.80078,8,227.1999969,68,8,-4,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,31,35596.80078,36,214.3999939,64,7.5,-3.5,480,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,32,35942.39844,23,240,88,4.5,-8,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,33,35942.39844,0,246.3999939,88,2,-6.5,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,34,35942.39844,7,150.3999939,88,2,-4.5,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,35,36288,11,166.3999939,100,-2,-9,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,36,36288,0,240,100,-1,-8.5,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,37,36633.60156,0,361.6000061,100,-1,-14.5,200,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,38,36633.60156,0,358.3999939,100,-3.5,-16.5,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,39,36633.60156,0,326.3999939,100,0,-11,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,40,36979.19922,9,233.6000061,108,-0.5,-10.5,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,41,36979.19922,0,400,108,-7.5,-23,80,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,42,36979.19922,0,364.7999878,108,-5.5,-18,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,43,37324.80078,0,396.7999878,108,-2,-17,160,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,44,37324.80078,0,316.7999878,108,-3,-13,240,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,45,37670.39844,0,329.6000061,108,2,-8.5,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,46,37670.39844,0,380.7999878,108,9,-4,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,47,38016,3,172.8000031,104,8,1.5,680,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,48,38016,18,128,100,5,0.5,640,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,49,38016,2,160,100,4,0,600,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,50,38361.60156,2,182.3999939,96,4,-0.5,600,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,51,38361.60156,0,284.7999878,92,7.5,0,600,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,52,38707.19922,0,275.2000122,92,7,0,600,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,53,38707.19922,0,230.3999939,88,4.5,-1,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,54,39052.80078,0,416,88,11,-1.5,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,55,39052.80078,0,409.6000061,84,9,-3,480,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,56,39052.80078,0,294.3999939,84,-1,-8,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,57,39398.39844,0,432,84,1,-11,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,58,39398.39844,0,444.7999878,84,5.5,-7.5,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,59,39744,0,470.3999939,84,8,-7,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,60,39744,0,470.3999939,84,10,-5,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,61,40089.60156,0,403.2000122,84,9,-1.5,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,62,40089.60156,7,320,92,3,-8,320,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,63,40435.19922,8,364.7999878,100,9,-6,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,64,40435.19922,8,352,96,9.5,-4,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,65,40780.80078,0,291.2000122,96,2.5,-4,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,66,40780.80078,1,297.6000061,96,0.5,-6,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,67,40780.80078,0,454.3999939,96,1.5,-10,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,68,41126.39844,3,345.6000061,100,2,-9.5,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,69,41126.39844,0,476.7999878,100,7,-5.5,400,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,70,41472,0,400,96,12.5,3,760,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,71,41472,17,396.7999878,96,15,-2,520,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,72,41817.60156,5,374.3999939,92,16.5,2,720,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,73,41817.60156,0,467.2000122,88,13,1,640,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,74,42163.19922,5,310.3999939,84,10,0.5,640,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,75,42163.19922,17,380.7999878,84,18,3,760,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,76,42508.80078,13,384,76,20,4.5,840,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,77,42508.80078,0,492.7999878,76,15,1.5,680,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,78,42854.39844,0,460.7999878,72,14.5,2.5,720,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,79,42854.39844,18,275.2000122,68,11,2.5,720,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,80,43200,6,316.7999878,64,13,2.5,720,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,81,43200,0,256,60,6.5,1,640,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,82,43200,0,390.3999939,60,7.5,-1.5,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,83,43545.60156,0,528,56,14.5,-1.5,560,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,84,43545.60156,3,368,56,13.5,0,600,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,85,43891.19922,4,304,56,5,-4.5,440,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,86,43891.19922,0,323.2000122,56,0,-7,360,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
1982,87,44236.80078,0,515.2000122,56,4,-9.5,280,Lewisburg-Celina silt loams,7.4,0.66,35.4,26.3,38.3,1.64,16.9,29.4,92,0
