year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil type,Soil pH,Soil Organic matter %,Sand Content %,Clay Content %,Silt Content %, soil bulk density (grams per cubic centimeter), wilting point %,field capacity %,saturation point (cm),Yield
1982,1,33177.60156,0,243.1999969,0,0.5,-13.5,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,2,33177.60156,0,217.6000061,0,1,-10,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,3,33523.19922,14,76.80000305,0,3,-1.5,560,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,4,33523.19922,9,160,8,1,-8,320,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,5,33523.19922,0,275.2000122,8,3.5,-10.5,280,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,6,33523.19922,0,246.3999939,8,4,-7,360,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,7,33523.19922,0,236.8000031,8,-5,-15,200,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,8,33523.19922,0,278.3999939,8,-3,-16.5,160,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,9,33868.80078,0,304,8,-2.5,-19.5,120,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,10,33868.80078,0,259.2000122,8,-17.5,-28.5,40,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
1982,11,33868.80078,0,281.6000061,8,-11.5,-24.5,80,Tama silt loam,6.2,1.14,4,22.7,68.3,1.33,16.1,30.4,>200,0
