Date/Time,yday,prcp (mm/day),srad (W/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil_pH,Clay Content %,Loam Content %,Sand Content %,Silt Content %,Yield
7/16/2020 0:00,1,0,0,23.48,23.31,835,5.6,8.34,28.53,71.47,20.19,0
7/17/2020 0:00,2,0,0,22.02,21.88,760,5.8,7.63,26.57,73.43,18.93,0
7/18/2020 0:00,3,0,0,22.31,22.16,884,5.8,8,27.54,72.46,19.56,0
7/19/2020 0:00,4,0,0,22.5,22.36,758.75,5.7,6.33,23,77,16.6,0
7/20/2020 0:00,5,0,0,22.4,22.25,793.3,5.7,6.61,23.71,76.28,17.11,0
7/21/2020 0:00,6,0.56,42,23.23,22.18,1204.58,5.7,7.2,25.3,74.7,18.12,0
7/22/2020 0:00,7,0.13,166.25,20.18,19.1,616.25,5.7,8.07,27.8,72.21,19.71,0
7/23/2020 0:00,8,0,178.71,21.6,20.4,492.91,5.7,7.4,25.85,74.15,18.5,0
7/24/2020 0:00,9,0,304.54,23.6,21.7,1210.83,5.8,7.16,25.24,74.75,18.1,0
7/25/2020 0:00,10,0,336.17,25.14,23.3,1512.08,5.7,5.22,19.84,80.15,14.62,0
7/26/2020 0:00,11,0,257.6,28.52,27.2,1817.91,5.75,8,27.5,72.5,19.53,0
7/27/2020 0:00,12,0.375,146.9,27.55,25.94,819.17,5.7,8.43,28.78,71.22,20.35,0
7/28/2020 0:00,13,0,336.1,26.05,24.57,1379.58,5.7,6.8,24.24,75.76,17.44,0
7/29/2020 0:00,14,0.26,202,22.4,20.3,743.3,5.6,7.8,27.1,73,19.26,0
7/30/2020 0:00,15,0.04,269.58,22,20,558.3,5.8,5.5,20.5,79.4,15.1,0
7/31/2020 0:00,16,0,291.6,23.5,22,1044.2,5.8,7.7,27,73.1,19.1,0
8/1/2020 0:00,17,0,328,25,23,1326.25,5.7,8.4,28.7,71.3,20.3,0
8/2/2020 0:00,18,1.525,52.54,21.42,20.6,290.83,5.7,6.5,23.42,76.57,17,0
8/3/2020 0:00,19,0.06,247,22,21,522.5,5.7,7.93,27.4,72.6,19.47,0
8/4/2020 0:00,20,0.93,40.33,19.35,19,116.67,5.6,6.34,23,77.02,16.63,0
8/5/2020 0:00,21,0.13,205.2,20.31,19,545.83,5.8,7.14,25.2,74.8,18,0
8/6/2020 0:00,22,0,316.7,20.36,18.76,907.5,5.8,8.04,27.72,72.27,19.67,0
8/7/2020 0:00,23,0,318.54,21,19.3,934.6,5.7,6.3,23,77.12,16.56,0
8/8/2020 0:00,24,0,323,22.36,20.7,1025.83,5.7,7.8,27.04,73,19.2,0
8/9/2020 0:00,25,0.083,93,20.84,19.8,301.67,5.7,7.25,25.51,74.5,18.25,0
8/10/2020 0:00,26,0.0083,240.25,22.7,21.5,427.1,5.7,7.03,25,75.1,17.8,0
8/11/2020 0:00,27,0.13,220.33,24.54,23.05,492.1,5.7,7.7,26.75,73.24,19,0
8/12/2020 0:00,28,0,308.54,24.36,23,1025.41,5.8,6.3,23,77.1,16.6,0
8/13/2020 0:00,29,0,310,24.28,22.7,1236.25,5.7,7.5,26.28,73.71,18.75,0
8/14/2020 0:00,30,0,309.54,22.66,21.15,1166.67,5.7,7.8,27,73,19.2,0
8/15/2020 0:00,31,0,313.83,22.23,20.73,1033.33,5.7,7,24.71,75.28,17.74,0
8/16/2020 0:00,32,0.85,232.46,21.4,20,574.17,5.7,7.4,26,74,18.53,0
8/17/2020 0:00,33,0.6,259,21.04,19.7,481.7,5.6,6.3,23,77.14,16.55,0
8/18/2020 0:00,34,0.03,237.17,19,17.24,558,5.8,7.26,25.53,74.46,18.27,0
8/19/2020 0:00,35,0,285.75,17.36,15.83,578,5.8,9,30.32,69.67,21.34,0
8/20/2020 0:00,36,0.017,122.9,16.02,14.8,429.58,5.7,6.8,24.2,75.8,17.41,0
8/21/2020 0:00,37,0.025,156.45,20.57,19.38,465,5.7,7.2,25.37,74.62,18.17,0
8/22/2020 0:00,38,0,290.2,22.06,20.7,864.58,5.7,6.35,23,77,16.64,0.24739344
8/23/2020 0:00,39,0.44,247,23.83,22.36,638.75,5.6,7.02,24.9,75.12,17.85,1.170445685
8/24/2020 0:00,40,0.75,214.12,22.72,21.42,356.25,5.7,9.45,31.62,68.37,22.2,2.851533112
8/25/2020 0:00,41,0,248.25,21.53,20.25,660.41,5.8,6.6,23.7,76.3,17.1,5.448649961
8/26/2020 0:00,42,0,270.41,15,13.56,619.58,5.76,7,24.76,75.24,17.77,7.140947691
