Date/Time,yday,prcp (mm/day),srad (W/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil_pH,Clay Content %,Loam Content %,Sand Content %,Silt Content %,Yield (27.6gN/m2)
5/15/2021 0:00,1,0,341.58,18.14,16.58,1400,5.7,9.17,30.84,69.15,21.67,0
5/16/2021 0:00,2,0,265.21,18.3,16.3,1193,5.7,6.62,23.7,76.26,17.12,0
5/17/2021 0:00,3,0,335.04,18.7,17.01,1321.67,5.6,11.65,36.4,63.6,25.24,0
5/18/2021 0:00,4,0,314.21,20.82,19.2,1256.25,5.7,13.54,43.02,57,29.47,0
5/19/2021 0:00,5,0,347.67,22,20.33,1470.41,5.8,7.3,25.6,74.4,18.31,0
5/20/2021 0:00,6,0,268.3,23.34,21.81,1381.7,5.7,9.37,31.41,68.58,22.04,0
5/21/2021 0:00,7,0,263.8,25.52,24.16,1629.58,5.8,6.82,24.32,75.67,17.5,0
5/22/2021 0:00,8,0.017,183.9,25.5,23.35,1165,5.8,10.26,33.88,66.11,23.62,0
5/23/2021 0:00,9,0.017,235.3,17.7,16.58,647.5,5.8,14,44.06,56,30.14,0
5/24/2021 0:00,10,0,346.3,15.1,14,1039.2,5.8,7.18,25.32,74.7,18.14,0
5/25/2021 0:00,11,0.008,219.1,20,18.57,715.41,5.7,9.53,31.86,68.14,22.33,0
5/26/2021 0:00,12,0,186.58,24,22.8,1080,5.8,6.8,24.27,75.73,17.46,0
5/27/2021 0:00,13,0,347.37,12.4,11.07,725.83,5.8,10,33.18,66.81,23.17,0
5/28/2021 0:00,14,0,306.5,8.18,6.88,647.1,5.8,14.14,44.7,55.31,30.55,0
5/29/2021 0:00,15,0,351.67,12.4,11,990,5.8,7.1,25.08,74.92,17.98,0
5/30/2021 0:00,16,0,334,13.8,12.15,937.1,5.7,9.69,32.3,67.7,22.61,0
5/31/2021 0:00,17,0,348.29,16.05,14.28,1055,5.8,6.7,23.91,76.08,17.23,0
6/1/2021 0:00,18,0.025,239,19.33,17.71,1201.7,5.8,9.78,32.55,67.44,22.77,0
6/2/2021 0:00,19,0,317.58,20.85,18.86,1365.83,5.7,13.69,43.45,56.55,29.75,0
6/3/2021 0:00,20,0.425,102.58,18.31,17.45,217.5,5.8,7.22,25.42,74.6,18.2,0
6/4/2021 0:00,21,0,289.62,20.28,19.22,434.17,5.7,9.76,32.48,67.52,22.72,0
6/5/2021 0:00,22,0.075,181.75,22,20.6,590,5.7,6.34,23,77.02,16.63,0
6/6/2021 0:00,23,0,325.8,25.87,24.7,1223,5.8,10.42,34.32,65.67,24,0
6/7/2021 0:00,24,0.008,326.12,27.58,26.24,1593,5.8,12.47,40.04,60,27.57,0
6/8/2021 0:00,25,0,291.8,27,25.87,880.42,5.8,7.47,26.13,74,18.65,0
6/9/2021 0:00,26,0,344.5,25.6,24.5,1783.3,5.8,9.62,32.11,67.88,22.48,0
6/10/2021 0:00,27,0,336,19.7,18.42,1433.3,5.7,6.04,22.13,77.86,16.1,0
6/11/2021 0:00,28,0.042,248,20,18.78,1128.3,5.8,11.37,37,63.03,25.6,0
6/12/2021 0:00,29,0,357.5,21.24,19.71,1502.1,5.8,10.86,35.56,64.43,24.7,0
6/13/2021 0:00,30,0,282,22,20.21,1338.75,5.7,7.9,27.32,72.67,19.42,0
6/14/2021 0:00,31,0.17,112.21,19.77,18.85,319.17,5.7,9.04,30.48,69.51,21.44,0
6/15/2021 0:00,32,0.058,127.04,18.26,17.1,598,5.7,5.97,22,78.5,15.97,0
6/16/2021 0:00,33,0,368.58,16.77,15.5,1058.33,5.7,12.58,40.34,59.65,27.76,0
6/17/2021 0:00,34,0,358.46,19.3,18,1428,5.8,8.92,30.15,69.85,21.23,0
6/18/2021 0:00,35,1.07,86.42,17.68,16.72,466.25,5.8,8.55,29.12,71,20.6,0
6/19/2021 0:00,36,0.06,300.8,21.31,20.1,898,5.8,7.88,27.26,72.73,19.4,0
6/20/2021 0:00,37,0,332.7,22.36,21.02,1040,5.8,6.29,22.84,77.16,16.55,0
6/21/2021 0:00,38,0.35,162.83,22.8,21.5,615,5.7,14.03,44.38,55.61,30.35,0
6/22/2021 0:00,39,0,242,15.15,14,600.41,5.8,6.74,24.11,76,17.36,0
6/23/2021 0:00,40,0,303.67,16,14.29,828.75,5.8,9.21,31,69.03,21.75,0
6/24/2021 0:00,41,0,367.21,20.55,19.32,1263,5.7,6.52,23.48,76.52,17,0
6/25/2021 0:00,42,0.075,164.75,21.7,21.1,949.17,5.8,7.56,26.37,73.63,19,0
6/26/2021 0:00,43,1.27,102.8,20.74,20.14,171.25,5.7,12.71,40.72,59.3,28,0
6/27/2021 0:00,44,0.025,296.54,26.68,25.84,905.83,5.8,6.65,23.84,76.16,17.18,0
6/28/2021 0:00,45,0.05,224.33,27.35,26.16,941.67,5.8,9.02,30.41,69.58,21.4,0
6/29/2021 0:00,46,0.35,186.58,23.71,22.31,447.1,5.8,5.8,21.45,78.54,15.66,0
6/30/2021 0:00,47,0.042,247.25,24.4,23.2,530.42,5.7,10.4,34.21,65.78,23.83,0
7/1/2021 0:00,48,0,240.25,20.44,19.24,683.33,5.8,9.26,31.1,69,21.83,0
7/2/2021 0:00,49,0,205.58,20,19,569.58,5.8,8,27.51,72.48,19.54,0
7/3/2021 0:00,50,0.02,275.21,18.51,17.3,528.33,5.8,6.95,24.67,75.33,17.72,0
7/4/2021 0:00,51,0,326.04,19,17.45,768.75,5.7,7.07,25,75,18,0
7/5/2021 0:00,52,0.01,303,22,20.51,928.75,5.7,12,38.58,61.41,26.63,0
7/6/2021 0:00,53,0,197.71,25,24.02,832.1,5.7,6.53,23.5,76.5,17,0
7/7/2021 0:00,54,0.025,171.5,16.52,16.52,630.42,5.6,9,30.35,69.65,21.36,0
7/8/2021 0:00,55,0.94,86.17,15.52,15,283.33,5.7,5.73,21.26,78.73,15.54,0
7/9/2021 0:00,56,0,157.62,17.4,16.49,297.1,5.8,10.3,34,66,23.7,0
